t=2026-07-25T14:14:00+0100 lvl=info msg="no configuration paths supplied"
t=2026-07-25T14:14:00+0100 lvl=info msg="using configuration at default config path" path="/Users/a/Library/Application Support/ngrok/ngrok.yml"
t=2026-07-25T14:14:00+0100 lvl=info msg="open config file" path="/Users/a/Library/Application Support/ngrok/ngrok.yml" err=<nil>
t=2026-07-25T14:16:26+0100 lvl=info msg="join connections" obj=join id=175a1832cb89 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:26+0100 lvl=info msg="join connections" obj=join id=662ebce0bb65 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:26+0100 lvl=info msg="join connections" obj=join id=85577b89919f l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:26+0100 lvl=info msg="join connections" obj=join id=e274e57f7cda l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:26+0100 lvl=info msg="join connections" obj=join id=173416c95bb2 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:26+0100 lvl=info msg="join connections" obj=join id=14079c8279eb l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:26+0100 lvl=info msg="join connections" obj=join id=70c5ce9a5a2b l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:26+0100 lvl=info msg="join connections" obj=join id=59b3696a8ed3 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:26+0100 lvl=info msg="join connections" obj=join id=f7c71fae85dc l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:26+0100 lvl=info msg="join connections" obj=join id=1fa7aae3c5e3 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:26+0100 lvl=info msg="join connections" obj=join id=07fe17755406 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:26+0100 lvl=info msg="join connections" obj=join id=7ad447e9378e l=[::1]:3000 r=105.127.13.198:24590
t=2026-07-25T14:16:26+0100 lvl=info msg="join connections" obj=join id=b6ea04e7d36c l=[::1]:3000 r=105.127.13.198:24594
t=2026-07-25T14:16:28+0100 lvl=info msg="join connections" obj=join id=8f9e37af3fa2 l=[::1]:3000 r=105.127.13.198:24584
t=2026-07-25T14:16:30+0100 lvl=info msg="join connections" obj=join id=8f28bdc874be l=[::1]:3000 r=105.127.13.198:24584
t=2026-07-25T14:16:32+0100 lvl=info msg="join connections" obj=join id=3fa735a2c0ad l=[::1]:3000 r=105.127.13.198:24594
t=2026-07-25T14:16:32+0100 lvl=info msg="join connections" obj=join id=bad3938fb52b l=[::1]:3000 r=105.127.13.198:24584
t=2026-07-25T14:16:33+0100 lvl=info msg="join connections" obj=join id=3049f68b2725 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:33+0100 lvl=info msg="join connections" obj=join id=c5140a623279 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:33+0100 lvl=info msg="join connections" obj=join id=04d2b1339af1 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:33+0100 lvl=info msg="join connections" obj=join id=03c85c639d4a l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:33+0100 lvl=info msg="join connections" obj=join id=2bc479e0197e l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:33+0100 lvl=info msg="join connections" obj=join id=61d0ed7778e1 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:33+0100 lvl=info msg="join connections" obj=join id=7680a0b405c4 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:33+0100 lvl=info msg="join connections" obj=join id=aac4d61d7b59 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:33+0100 lvl=info msg="join connections" obj=join id=d54eb55adf42 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:33+0100 lvl=info msg="join connections" obj=join id=0c21d958a37a l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:33+0100 lvl=info msg="join connections" obj=join id=63e0926157a9 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:33+0100 lvl=info msg="join connections" obj=join id=0970cd4b4689 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:33+0100 lvl=info msg="join connections" obj=join id=1f09dae7ae3f l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:33+0100 lvl=info msg="join connections" obj=join id=2686679e2fe4 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:33+0100 lvl=info msg="join connections" obj=join id=c09bf7b1f2af l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:33+0100 lvl=info msg="join connections" obj=join id=56a4a034a87e l=[::1]:3000 r=105.127.13.198:19430
t=2026-07-25T14:16:33+0100 lvl=info msg="join connections" obj=join id=2f499fbdeb0d l=[::1]:3000 r=105.127.13.198:19430
t=2026-07-25T14:16:33+0100 lvl=info msg="join connections" obj=join id=2e2b15729539 l=[::1]:3000 r=105.127.13.198:19430
t=2026-07-25T14:16:34+0100 lvl=info msg="join connections" obj=join id=b3b5b7df1f47 l=[::1]:3000 r=105.127.13.198:19430
t=2026-07-25T14:16:34+0100 lvl=info msg="join connections" obj=join id=4c378e596d4c l=[::1]:3000 r=105.127.13.198:24584
t=2026-07-25T14:16:34+0100 lvl=info msg="join connections" obj=join id=860bac2a68bf l=[::1]:3000 r=105.127.13.198:19430
t=2026-07-25T14:16:34+0100 lvl=info msg="join connections" obj=join id=25e6c15e98a0 l=[::1]:3000 r=105.127.13.198:19430
t=2026-07-25T14:16:34+0100 lvl=info msg="join connections" obj=join id=8dcba8148135 l=[::1]:3000 r=105.127.13.198:19430
t=2026-07-25T14:16:35+0100 lvl=info msg="join connections" obj=join id=83947fe85a79 l=[::1]:3000 r=105.127.13.198:19430
t=2026-07-25T14:16:35+0100 lvl=info msg="join connections" obj=join id=7eb6f248b5d4 l=[::1]:3000 r=105.127.13.198:24594
t=2026-07-25T14:16:35+0100 lvl=info msg="join connections" obj=join id=b0571bbcd240 l=[::1]:3000 r=105.127.13.198:24600
t=2026-07-25T14:16:37+0100 lvl=info msg="join connections" obj=join id=9c0f4c43d0af l=[::1]:3000 r=105.127.13.198:24594
t=2026-07-25T14:16:37+0100 lvl=info msg="join connections" obj=join id=8feace5b538c l=[::1]:3000 r=105.127.13.198:24600
t=2026-07-25T14:16:39+0100 lvl=info msg="join connections" obj=join id=886ccb42f932 l=[::1]:3000 r=105.127.13.198:24594
t=2026-07-25T14:16:39+0100 lvl=info msg="join connections" obj=join id=e44f6ade86ac l=[::1]:3000 r=105.127.13.198:24584
t=2026-07-25T14:16:40+0100 lvl=info msg="join connections" obj=join id=d50beb997d81 l=[::1]:3000 r=105.127.13.198:24577
t=2026-07-25T14:16:42+0100 lvl=info msg="join connections" obj=join id=c8ffbfe9ac81 l=[::1]:3000 r=105.127.13.198:24584
